ResponseId	Trip_Number	raw_response	units	distance_in_raw_response_units	mode	likely_dominant_mode	distance_in_kilometers
R_0BP7zR2MKyh3vIl	Distance Trip 1	1 (walked)	miles	1	foot	foot	1
R_0GTMaMfZ1jxs1bP	Distance Trip 1	3000 (flight)	miles	3000	plane	plane	3000
R_0IHfoAVKSvpIqtP	Distance Trip 1	5897	kilometers	5897	unknown	unknown	5897
R_0MX8CR4MyvEXvfb	Distance Trip 1	13000 (plane)	kilometers	13000	plane	plane	13000
R_0qPsmMEZF7y49mp	Distance Trip 1	4500	kilometers	4500	unknown	unknown	4500
R_10BCdY8vQcfP2oV	Distance Trip 1	500 plane	miles	500	plane	plane	500
R_10DlrvWqhArIiET	Distance Trip 1	400 (train)	miles	400	train	train	400
R_10TXGqZUTqG8ut2	Distance Trip 1	0 (local)	miles	0	foot	foot	0
R_10U9zJ1QLGEnlmd	Distance Trip 1	Plane (1016) - I wasn't traveling from my home for this, and I took a bus to a different location (also not my home)	miles	1016	mixed	plane	1016
R_1115lNNEG1UKct5	Distance Trip 1	536.98 km (car)	kilometers	536.98	car	car	536.98
R_11dSAtu3J96kKqd	Distance Trip 1	100	miles	100	unknown	unknown	100
R_11dXdV84r8IzDTH	Distance Trip 1	124 (train)	kilometers	124	train	train	124
R_11Y46zJutoqOHRr	Distance Trip 1	4000 (plane)	miles	4000	plane	plane	4000
R_125c2AOYHeGaTgi	Distance Trip 1	1500	miles	1500	unknown	unknown	1500
R_129M763IUarJYtN	Distance Trip 1	1200(flight)	kilometers	1200	plane	plane	1200
R_12bPJtmQb73gQE6	Distance Trip 1	11200 (flight)	kilometers	11200	plane	plane	11200
R_12EC0y6uZAXkTyl	Distance Trip 1	500 (plane)	miles	500	plane	plane	500
R_12fmt2xHBgSLBma	Distance Trip 1	2445 (plane)	miles	2445	plane	plane	2445
R_12lEwQ4jdiSgZ2c	Distance Trip 1	500	kilometers	500	unknown	unknown	500
R_12LsgkwWBuw1YJz	Distance Trip 1	164	miles	164	unknown	unknown	164
R_12rnvggeoyd1d9r	Distance Trip 1	1242 - planes & train	kilometers	1242	mixed	plane	1242
R_12z0J1BGsodpOhU	Distance Trip 1	0	miles	0	unknown	unknown	0
R_1BrRKOq1cfKOb9D	Distance Trip 1	1661 (plane)	miles	1661	plane	plane	1661
R_1BXFPuXfJDbZ8xu	Distance Trip 1	1078 (plane)	miles	1078	plane	plane	1078
R_1BXh828qsKj610k	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1CC6VdytGBvrwQH	Distance Trip 1	1220	miles	1220	unknown	unknown	1220
R_1CCO3t4hGvAtIPg	Distance Trip 1	1000 (airplane)	miles	1000	plane	plane	1000
R_1Cf5Zd3LgfB5gHf	Distance Trip 1	54 (car)	miles	54	car	car	54
R_1CKKRvwMmaRkgLp	Distance Trip 1	350 (air)	miles	350	plane	plane	350
R_1d5mxy1CvLhHL3N	Distance Trip 1	150	kilometers	150	unknown	unknown	150
R_1d6wnqZLFroaB7n	Distance Trip 1	international	NA	NA	NA	NA	NA
R_1d9VRfxe6UR210o	Distance Trip 1	711 (air)	miles	711	plane	plane	711
R_1DGpwayBSEGH0Fi	Distance Trip 1	800	miles	800	unknown	unknown	800
R_1Dw0dMaJzZohiQG	Distance Trip 1	2 (train)	miles	2	train	train	2
R_1DwfPSovWvweOa0	Distance Trip 1	150 (car)	miles	150	car	car	150
R_1E7pRIEDtz8fGu4	Distance Trip 1	745 (plane)	miles	745	plane	plane	745
R_1EbLxW6uqZm7NVp	Distance Trip 1	1400 (plane)	miles	1400	plane	plane	1400
R_1eOVoD9MqIC0g3D	Distance Trip 1	1300 (air)  + 100 (train)	kilometers	1300	plane	plane	1300
R_1eOVoD9MqIC0g3D	Distance Trip 1	1300 (air)  + 100 (train)	kilometers	100	train	train	100
R_1eUBFRZ3KjZbjaJ	Distance Trip 1	60 (car)	miles	60	car	car	60
R_1ez826MsX3v3f59	Distance Trip 1	730 (plane)	miles	730	plane	plane	730
R_1f8XIqhpbSynZlQ	Distance Trip 1	600 (car)	miles	600	car	car	600
R_1fd3dprlmeg7Vk8	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1FfjXfTNDAPO9x8	Distance Trip 1	1000	kilometers	1000	unknown	unknown	1000
R_1FL1yiThokvXZ4y	Distance Trip 1	550 (carpool departure flight return)	miles	550	mixed	plane	550
R_1FnfQUA3Lyt4jIv	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1GH4VOE6W4TxXIi	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1GK8iup7wdppU3e	Distance Trip 1	740	kilometers	740	unknown	unknown	740
R_1GtQ3ycdmwIbYFH	Distance Trip 1	490	miles	490	unknown	unknown	490
R_1gUASWDcle7bjTP	Distance Trip 1	460	NA	NA	NA	NA	NA
R_1guLFi4qHGObDXq	Distance Trip 1	455 km	kilometers	455	unknown	unknown	455
R_1HixXGCAuBbbz0g	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1hJWWzCHEUJXm5o	Distance Trip 1	0	miles	0	unknown	unknown	0
R_1i3VdJIBOgQD52Q	Distance Trip 1	800 (plane)	kilometers	800	plane	plane	800
R_1I5cxp7nd6i0psR	Distance Trip 1	800 (plane)	miles	800	plane	plane	800
R_1I9JtgEHB0L7vs7	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1IbJSZLqlV6STJN	Distance Trip 1	6000	kilometers	6000	unknown	unknown	6000
R_1ifUIXZ2gxC5RXX	Distance Trip 1	4500 (flight + train)	miles	4500	mixed	plane	4500
R_1IsoswokRTHtVg1	Distance Trip 1	1114 (fight)	miles	1114	plane	plane	1114
R_1iswfM49Ocz5YB3	Distance Trip 1	3490 mi (plane, bus)	miles	3490	mixed	plane	3490
R_1JDcDDC0dTQmc1j	Distance Trip 1	10 (train+bus)	miles	10	mixed	public_transit	10
R_1jIFD1p97B3pi48	Distance Trip 1	4064.73 km (airplane)	kilometers	4064.73	plane	plane	4064.73
R_1jv1hu8plEj1QNS	Distance Trip 1	5	NA	5	unknown	unknown	5
R_1JVMlGUFBhXm4K8	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1KjYV0SKPw3WaeE	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1KlLOQpW8b9BOSW	Distance Trip 1	1200	kilometers	1200	unknown	unknown	1200
R_1KvWtE5Qfcdteax	Distance Trip 1	2435 (plane)	miles	2435	plane	plane	2435
R_1l0klEB60FihAcl	Distance Trip 1	SRCD, 2300 mi (airplane)	miles	2300	plane	plane	2300
R_1lgiypKtcdI6x3l	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1LhSpyotS3oFByI	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1LMDwRnxo4hl52T	Distance Trip 1	2024	miles	2024	unknown	unknown	2024
R_1lnT8Pb8t8U7Lu2	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1LwzxWPtDRJQP92	Distance Trip 1	545 (train)	kilometers	545	train	train	545
R_1M6tY48bUSBhVXT	Distance Trip 1	400 (train)	kilometers	400	train	train	400
R_1MKgfYRKq77EOmh	Distance Trip 1	348 (Car)	miles	348	car	car	348
R_1mlP9DPrkydlT3V	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1MPOIfGFezYEp71	Distance Trip 1	744	kilometers	744	unknown	unknown	744
R_1msFUImRhkEP1FK	Distance Trip 1	2000 (air)	miles	2000	plane	plane	2000
R_1msWRt0tnK46tnB	Distance Trip 1	631.86	kilometers	631.8599999999999	unknown	unknown	631.8599999999999
R_1MSyf5ZynnIqA68	Distance Trip 1	0 (bus)	kilometers	0	bus	bus	0
R_1mUaPjv9XUBe5YV	Distance Trip 1	92 (train)	kilometers	92	train	train	92
R_1mUvzoK7oz5wezl	Distance Trip 1	500 (plane)	miles	500	plane	plane	500
R_1mvZB5GOzV8doGk	Distance Trip 1	250 (car)	miles	250	car	car	250
R_1nNHG8iWCN27G8S	Distance Trip 1	2,800 (plane)	miles	2800	plane	plane	2800
R_1nVHXhM0yNc8GQ6	Distance Trip 1	785 (plane)	miles	785	plane	plane	785
R_1o1pT5XPwgsQAdr	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1o2atLUGGEMVkeK	Distance Trip 1	2 miles (subway)	miles	2	train	train	2
R_1o8dIVxLwiDxbJq	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1obhD9Z4Hqdj2qa	Distance Trip 1	0 (local)	kilometers	0	foot	foot	0
R_1Oiq87304lCPMXm	Distance Trip 1	NA	NA	NA	NA	NA	NA
R_1Oj0AACyga0zzpu	Distance Trip 1	635 airplane	miles	635	plane	plane	635
