ResponseId	Finished	RecordedDate	Question	Value
R_2CmoJiXg0YiLYiu	TRUE	2020-03-23T09:39:50Z	Q15_1	3
R_1lnT8Pb8t8U7Lu2	TRUE	2020-03-23T09:41:05Z	Q15_1	4
R_tPQV5EFU2c4QdLX	TRUE	2020-03-23T09:41:10Z	Q15_1	3
R_pRUZP9WpPPgB3fb	TRUE	2020-03-23T09:42:21Z	Q15_1	3
R_2R3alMzrmK7S0gl	TRUE	2020-03-23T09:42:34Z	Q15_1	6
R_9HwxSSkdjK9vGUx	TRUE	2020-03-23T09:43:46Z	Q15_1	3
R_yL1QG2gP1Yzznbj	TRUE	2020-03-23T09:44:36Z	Q15_1	3
R_xrxfPFXoiYHsMk9	TRUE	2020-03-23T09:46:43Z	Q15_1	4
R_3CTwi47l0yUKSb2	TRUE	2020-03-23T09:48:17Z	Q15_1	2
R_3Li14Lvx7iuB8C2	TRUE	2020-03-23T09:51:11Z	Q15_1	1
R_DiNvkXPpmCWbJxT	TRUE	2020-03-23T09:51:16Z	Q15_1	2
R_snbzR4oytlHFiJX	TRUE	2020-03-23T09:51:24Z	Q15_1	3
R_qQKFo3rsHlqZnpL	TRUE	2020-03-23T09:53:50Z	Q15_1	3
R_2xJ0RjoQXIbJjk7	TRUE	2020-03-23T10:00:09Z	Q15_1	1
R_30l76bWjzhc8FKy	TRUE	2020-03-23T10:01:15Z	Q15_1	3
R_UxB3LOADGTMkTBv	TRUE	2020-03-23T10:03:22Z	Q15_1	2
R_4ZvZ87S1qrcLDRn	TRUE	2020-03-23T10:04:15Z	Q15_1	5
R_3irRRQ697jnikxo	TRUE	2020-03-23T10:05:27Z	Q15_1	1
R_9uy4tLLZJ9UVi7v	TRUE	2020-03-23T10:08:16Z	Q15_1	3
R_3fotmEOImI7cjQy	TRUE	2020-03-23T10:09:11Z	Q15_1	2
R_2UWUTw7mkPkNsrU	TRUE	2020-03-23T10:10:58Z	Q15_1	6
R_32KKpoOOeXW24Nt	TRUE	2020-03-23T10:11:05Z	Q15_1	2
R_babgUSltxYcbXZn	TRUE	2020-03-23T10:11:14Z	Q15_1	2
R_2Y2DxiYIDX0u3fp	TRUE	2020-03-23T10:13:03Z	Q15_1	3
R_21HEtB7mlAqpHIO	TRUE	2020-03-23T10:13:49Z	Q15_1	4
R_242WTBWUluvzhUs	TRUE	2020-03-23T10:14:47Z	Q15_1	2
R_SIcZjdywqjaSgh3	TRUE	2020-03-23T10:20:58Z	Q15_1	2
R_125c2AOYHeGaTgi	TRUE	2020-03-23T10:21:32Z	Q15_1	NA
R_3Ezgg60qvQsWklJ	TRUE	2020-03-23T10:23:15Z	Q15_1	3
R_22RXTsFimjF8H6r	TRUE	2020-03-23T10:26:30Z	Q15_1	3
R_31MFkzeKtQUSyxg	TRUE	2020-03-23T10:29:06Z	Q15_1	3
R_REueWtMUQk1oSIx	TRUE	2020-03-23T10:30:26Z	Q15_1	5
R_3F3dqW0Y5HG326G	TRUE	2020-03-23T10:31:40Z	Q15_1	1
R_2Sk7TCeH3RC3Jt9	TRUE	2020-03-23T10:32:49Z	Q15_1	3
R_2AWGTyad6HmB9Ov	TRUE	2020-03-23T10:38:43Z	Q15_1	4
R_1o1pT5XPwgsQAdr	TRUE	2020-03-23T10:40:37Z	Q15_1	6
R_4GbtcZczFEnDjBT	TRUE	2020-03-23T10:42:47Z	Q15_1	NA
R_6PeiqFpK1pPvsQh	TRUE	2020-03-23T10:43:02Z	Q15_1	3
R_3oNqXN2xEsULc47	TRUE	2020-03-23T10:45:06Z	Q15_1	5
R_2zUqkPzFaNJnBuc	TRUE	2020-03-23T10:49:11Z	Q15_1	2
R_1d6wnqZLFroaB7n	TRUE	2020-03-23T10:49:21Z	Q15_1	8
R_9GkadSCHVizFaIV	TRUE	2020-03-23T10:50:45Z	Q15_1	6
R_VVknguw81AbTFFD	TRUE	2020-03-23T10:57:36Z	Q15_1	3
R_1guLFi4qHGObDXq	TRUE	2020-03-23T11:12:10Z	Q15_1	2
R_2f88emSFpoMFADE	TRUE	2020-03-23T11:13:39Z	Q15_1	2
R_27OtrdlQU3w9Wr2	TRUE	2020-03-23T11:19:54Z	Q15_1	2
R_296509E6OMip38g	TRUE	2020-03-23T11:20:36Z	Q15_1	2
R_82qZvoheUBnqUr7	TRUE	2020-03-23T11:21:17Z	Q15_1	1
R_1jIFD1p97B3pi48	TRUE	2020-03-23T11:27:43Z	Q15_1	3
R_2z60istNm0R2Nix	TRUE	2020-03-23T11:32:01Z	Q15_1	2
R_AigztOpQ8BNC8kV	TRUE	2020-03-23T11:36:18Z	Q15_1	0
R_3qmm5Ea1UTcP08A	TRUE	2020-03-23T11:37:41Z	Q15_1	2
R_1BrRKOq1cfKOb9D	TRUE	2020-03-23T11:41:55Z	Q15_1	1
R_WiySzNpRJkdC4Hn	TRUE	2020-03-23T11:46:19Z	Q15_1	1
R_10DlrvWqhArIiET	TRUE	2020-03-23T11:50:35Z	Q15_1	2
R_27D4P8iJrX3XgOD	TRUE	2020-03-23T11:50:43Z	Q15_1	2
R_3O8spUD05HEgfVY	TRUE	2020-03-23T12:03:47Z	Q15_1	1
R_qLsYntoHEvXpLd7	TRUE	2020-03-23T12:19:27Z	Q15_1	3
R_DiZRaiXiQqOy5Y5	TRUE	2020-03-23T12:26:54Z	Q15_1	4
R_OqbMiN236YiZ4Yx	TRUE	2020-03-23T12:28:05Z	Q15_1	5
R_1GH4VOE6W4TxXIi	TRUE	2020-03-23T12:31:08Z	Q15_1	0
R_3M6vVhZ4osLIolk	TRUE	2020-03-23T12:40:45Z	Q15_1	4
R_3KASAFor4Ai13Nk	TRUE	2020-03-23T13:00:16Z	Q15_1	1
R_3KT7N8RU5US51f8	TRUE	2020-03-23T13:06:39Z	Q15_1	3
R_3GvruSzDF5lccvi	TRUE	2020-03-23T13:10:16Z	Q15_1	3
R_2EFvmmRzQMtqzAw	TRUE	2020-03-23T13:24:45Z	Q15_1	NA
R_8oX2HZ91XVWdqI9	TRUE	2020-03-23T13:38:54Z	Q15_1	4
R_3IRJhuCzXdyFHq1	TRUE	2020-03-23T13:51:25Z	Q15_1	7
R_1nVHXhM0yNc8GQ6	TRUE	2020-03-23T13:55:24Z	Q15_1	2
R_3iElG7cwS0Na0MB	TRUE	2020-03-23T13:57:10Z	Q15_1	3
R_3k7jqH94U67Odrf	TRUE	2020-03-23T14:12:26Z	Q15_1	6
R_2TmABiChg11Irby	TRUE	2020-03-23T14:46:18Z	Q15_1	5
R_2fp2DlwmEwrGkDK	TRUE	2020-03-23T14:51:44Z	Q15_1	1
R_wZvHnVevRLzcXEB	TRUE	2020-03-23T14:58:55Z	Q15_1	3
R_26hGERCRAYDvFvK	TRUE	2020-03-23T15:09:13Z	Q15_1	2
R_3O8FSPfkz9aoU6p	TRUE	2020-03-23T15:29:30Z	Q15_1	3
R_1DGpwayBSEGH0Fi	TRUE	2020-03-23T15:49:40Z	Q15_1	3
R_3gxv1E2MhtISFO1	TRUE	2020-03-23T15:53:05Z	Q15_1	1
R_1IsoswokRTHtVg1	TRUE	2020-03-23T15:55:39Z	Q15_1	3
R_20TEpae6oOtqE9t	TRUE	2020-03-23T15:59:12Z	Q15_1	3
R_3M4EchpvSQsgBnE	TRUE	2020-03-23T16:12:53Z	Q15_1	1
R_1rjLVwvk93FF0j1	TRUE	2020-03-23T18:50:14Z	Q15_1	6
R_1EbLxW6uqZm7NVp	TRUE	2020-03-23T19:40:13Z	Q15_1	6
R_2xWz8txYcChXZok	TRUE	2020-03-23T20:47:44Z	Q15_1	4
R_3R1QEPKpR7eaBTa	TRUE	2020-03-23T21:13:29Z	Q15_1	3
R_2Ychd5rTcVICVfk	TRUE	2020-03-23T21:52:47Z	Q15_1	3
R_11Y46zJutoqOHRr	TRUE	2020-03-23T21:57:25Z	Q15_1	3
R_5j3GhNmMEy2Ffzz	TRUE	2020-03-23T22:10:47Z	Q15_1	0
R_2VE02nFwIWMyO9t	TRUE	2020-03-23T22:12:18Z	Q15_1	3
R_2OI4tNfgpjhR10J	TRUE	2020-03-23T22:20:45Z	Q15_1	0
R_2rTHWb94S7QKfpP	TRUE	2020-03-23T22:21:38Z	Q15_1	4
R_0MX8CR4MyvEXvfb	TRUE	2020-03-23T22:27:43Z	Q15_1	5
R_2X5VkXAbC8rBjsf	TRUE	2020-03-23T23:50:11Z	Q15_1	8
R_1MSyf5ZynnIqA68	TRUE	2020-03-24T00:46:45Z	Q15_1	3
R_3RqnbaNgpSzdWud	TRUE	2020-03-24T02:27:45Z	Q15_1	2
R_3MAuKKWtdFXIkcn	TRUE	2020-03-24T02:49:59Z	Q15_1	2
R_3qevH6JQn9zCAS4	TRUE	2020-03-24T03:42:50Z	Q15_1	0
R_2ZHzsJSG1abMlHM	TRUE	2020-03-24T03:46:41Z	Q15_1	3
